,artist_id,name,followers,popularity,genres,main_genre
1512,0V208yTQ5OGOUBZuszu6Fn,fhop music,931673,68,"gospel, devotional, worship, brazilian gospel","Christian, Traditional Music"
1513,4GEyPR3J4DYvuTRuPJQ0CW,Anvita Dutt Guptan,27966,61,"bollywood, hindi pop, desi",Pop
1514,5VeyQ48fHEJP9CVFc4YJ5X,Hamilton Rabelo,9332,59,"gospel, worship, devotional, brazilian gospel","Christian, Traditional Music"
1515,78YqeIji3mgAS2K1Maca6x,Dylan Scott,1943658,66,country,Country
1516,5xYNmNkaWRqu3e5F4UXME8,Alfredo Olivas,11871805,81,"banda, corrido, norteño, sierreño, corridos bélicos","Latin, Traditional Music"
1517,0sSxphmGskGCKlwB9xa6WU,Himesh Reshammiya,12038627,75,"bollywood, hindi pop, desi",Pop
1518,17TFSnqADESRM8BPSaM5aB,Krono,52798,64,"alternative dance, disco house, french house, g-funk, west coast hip hop","Electronic, Hip Hop, R&B, Rock"
1519,6twEaJ9RPRYiCmWapjG8xh,Tony Aguirre,1380766,66,"corrido, corridos bélicos, corridos tumbados, sierreño, electro corridos","Latin, Traditional Music"
1520,4GISoVSxo2LkF5EyorXs9W,Ramajogayya Sastry,466772,71,"tollywood, telugu pop",Pop
1521,77qukKzmdI5BeMBR7WGUrN,Aaron Smith,417232,64,chicago house,Electronic
1522,72A0Z8q8NiochyK9gUHpCR,The Kolors,603079,58,"italo dance, italo disco",Pop
1523,73Np75Wv2tju61Eo9Zw4IR,Idina Menzel,586507,77,musicals,Pop
1524,3HyrDGPLI0c9Rd8luuO0zw,Maelo Ruiz,2605585,69,"salsa, merengue",Latin
1525,37mqXU98U5GmH5ZDtlHM1c,Matheus Fernandes,961027,70,"piseiro, sertanejo, pagode, forró, arrocha",Latin
1526,7uvZiKlqJAqWz1ldB1iZ1X,Ozan Bayraşa,21856,57,turkish pop,Pop
1527,7IAFAOtc9kTYNTizhLSWM6,Hollow Coves,818817,66,indie folk,Rock
1528,6dqohi36avY0M9urnyhITr,Luvli,19584,64,"tropical house, afro house, tech house, melodic house, house, deep house, bass house, uk dance, deep tropical house, edm",Electronic
1529,2r78U7GOo9XMOVbpFkXtYD,Maureen,80468,63,"shatta, dancehall, zouk, kompa","Reggae, Traditional Music"
1530,74NBPbyyftqJ4SpDZ4c1Ed,Tom Morello,246157,66,modern alternative rock,Rock
1531,2WyypmYjOdaXg0bXDP67j7,Blaiz Fayah,169009,65,"shatta, dancehall, moombahton, ragga","Latin, Reggae"
1532,25pd339V2rRJo84USlcSRP,JAWNY,423217,63,bedroom pop,Pop
1533,7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,9191633,88,latin,Latin
1534,6nJEMDVNcq7fduXgk7EdGG,MilleniumKid,93413,66,"german indie, neue deutsche welle, german indie pop","Pop, Rock"
1535,4TPAWIeZhHw6CnsoPe9vxY,Lucry & Suena,13776,54,"german indie, german indie pop, german hip hop","Hip Hop, Pop, Rock"
1536,0KPX4Ucy9dk82uj4GpKesn,Dalex,5162434,75,reggaeton,Latin
